WEIGHT NAME                                        SHAPE             MIN           MAX           STD      
bn4i_branch2a_2/moving_mean:0                      (256,)           -3.8994        +2.5413      +1.0756   
bn4i_branch2a_2/moving_variance:0                  (256,)           +0.6003        +6.0203      +0.5194   
res4i_branch2b_2/kernel:0                     (3, 3, 256, 256)      -0.1302        +0.1541      +0.0093   
res4i_branch2b_2/bias:0                            (256,)           -0.0063        +0.0112      +0.0028   
bn4i_branch2b_2/gamma:0                            (256,)           +0.5664        +1.6229      +0.1404   
bn4i_branch2b_2/beta:0                             (256,)           -1.4855        +0.4776      +0.2638   
bn4i_branch2b_2/moving_mean:0                      (256,)           -0.3930        +0.1225      +0.0744   
bn4i_branch2b_2/moving_variance:0                  (256,)           +0.0113        +0.0744      +0.0117   
res4i_branch2c_2/kernel:0                    (1, 1, 256, 1024)      -0.1554        +0.1568      +0.0120   
res4i_branch2c_2/bias:0                           (1024,)           -0.0069        +0.0131      +0.0017   
bn4i_branch2c_2/gamma:0                           (1024,)           +0.0400        +2.1618      +0.1852   
bn4i_branch2c_2/beta:0                            (1024,)           -0.5914        +0.7033      +0.1253   
